index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,x,y
5641,79.8020283892097,623.5385095243566,95.82175499683396,42.211204915187814,159.57636588685153,15.0,15.0,15.0,15.0,15.0,15.0,0.7580165649977606,3.4698894817910224
5642,69.76497501476858,570.9405392344032,95.95041651476258,47.702327211776,194.7130960973137,15.0,15.0,15.0,15.0,15.0,15.0,0.9800017980756012,3.459299186196556
5643,69.1654077405956,507.9948050555596,91.3865391237592,51.15362740038197,265.81617886603624,15.0,17.843866577899124,15.0,15.0,15.0,15.0,1.1987273603323394,3.4614075431057736
5644,63.81835691846445,435.12002261740537,83.83467494750191,59.30334218775218,294.0304436199306,15.0,19.68417461936217,15.0,15.0,15.0,15.0,1.4160528554899543,3.4645586685513674
5645,53.27681422679321,357.759421852472,69.29098958740241,56.120404067991906,352.4026923990985,15.0,24.98048461044864,16.359222078810447,15.0,15.0,15.0,1.6342944824789578,3.446658986175217
5646,50.44989791675759,289.2564626151598,64.97040564429199,62.1023130712779,468.5972204890813,15.84535945888238,30.45504730580503,18.08701585436081,15.0,15.024865028934776,15.0,1.8551199883805891,3.449134520944539
5647,45.862315721219,224.632261604777,56.8623880737775,70.38917037004515,456.53918326208213,15.0,46.73541405049714,21.653952862272696,15.0,16.200886039658105,15.0,2.096900542934761,3.4547290366639976
5648,39.19823762476183,169.92108087405222,51.734538926922816,64.46634913668629,489.061838104702,18.579013882505407,56.8537973741477,24.765920935869,17.264562519355472,19.88696060845437,15.0,2.3156373562860155,3.4578994578066067
5649,34.185859673228194,129.13595404527092,44.59260776975749,63.824249556088105,493.48018626121706,21.49163289344449,72.30348273326481,25.744185069405223,17.451268697658676,21.16934971827421,15.82435771932608,2.536140182003317,3.4613498678984636
5650,30.67791229807461,100.959073293326,40.937419972293355,56.8760007048171,458.58109023198233,24.363454464148607,92.47936052456195,29.994604394985817,20.20275498324784,27.14472720662023,16.645408204990076,2.75595786034209,3.4633736927040286
5651,25.55173692943906,79.66402783944447,33.52986262806915,55.971533137537385,421.0810876676858,28.72362271994152,127.03625430979132,31.78489251486272,19.76126529919173,29.694033606976134,18.151889091315415,2.9753825649746233,3.463076545874757
5652,22.53446016210323,60.414338756208295,26.63398082043313,51.896817591270455,367.3389088086011,33.423005606250854,172.6514485832828,37.028076039856494,24.371505576867317,39.394496003728975,18.38011599444345,3.192252033922182,3.461184528957286
5653,20.823604954688054,46.64370721186471,25.64137745493388,54.30512136545097,280.87832641997977,39.50435469286937,219.7101405118356,42.28201733484483,25.46288652088634,50.070043797512426,23.25431239444171,3.4013149923768533,3.5038208590170776
5654,17.670771963065054,42.390132388148274,20.70183991995071,41.51905914907986,224.9622584480339,54.676333604886246,260.81399173738936,38.26397413016869,27.368158561835244,56.94776551285733,28.28387603464389,3.589644608322752,3.7087052746973233
5655,18.065952151301136,36.03228547956697,15.688745661543214,32.694946438030804,205.5584174979364,69.17435029613843,280.5657388695953,36.573589324285344,26.861168440365,63.74404356322154,32.11056081673901,3.7131099022484375,3.8903344588780753
5656,18.28545000268212,32.875618889546864,16.657767167231462,26.38503307009376,163.28479538077073,92.44148495957752,281.8807421582453,31.085054475358948,24.597628451199736,69.55933325747328,39.379432488315906,3.788536825855268,4.0970427681838535
5657,20.42670178883075,32.53447481922852,15.192675218599168,19.265225808547388,150.72956592953096,115.48941870239032,248.6524301654341,27.84851392990242,22.731843683666053,65.38357743692274,41.93787760400867,3.797879912868859,4.316011537058736
